source,class,precision,recall,f1
R,Negative,0.8506388750786259,0.9354755021866429,0.8910418893245343
R,Neutral,0.5920598241621959,0.058792231976589525,0.10688164314563166
R,Positive,0.9159746992880603,0.9332408389782095,0.924526615398683
V,Negative,0.8106768391752065,0.874828060522696,0.8415110595022733
V,Neutral,0.9167060637151274,0.8724977552421698,0.8940534057448519
V,Positive,0.9371322649151685,0.9338801048448465,0.9355015725561335
