transition,n,mean,sd,median,iqr
Negative->Neutral,3119,0.4463027469559649,0.17798372218324143,0.4875259554586789,0.21716543233931906
Negative->Positive,2206,0.3231783803609189,0.20520052983721526,0.3460617533570309,0.37759505061662957
Neutral->Negative,261,0.12137638516955133,0.13741761305841482,0.06466028096174313,0.15673570684063806
Neutral->Positive,543,0.17204447248387675,0.18306571964168963,0.08865404363234591,0.3020967151167101
Positive->Negative,432,0.30067841338810225,0.25772178623611486,0.2327846412243037,0.6032429141200184
Positive->Neutral,2743,0.5183538010468434,0.1637127048263168,0.5748344168032139,0.17248686141203184
