scope,source,seed_pair,group,mean,median,sd,iqr,n
full,R,42_123,all,0.0026049694549182423,0.00015679198852715888,0.010444586148837712,0.0012131791291651673,22500
full,R,42_123,D0,0.0016540504468332648,0.00010096725121480415,0.008986139213677502,0.0004003469693338283,13196
full,R,42_123,D1,0.0039536718657833935,0.0005442407682350963,0.01209105914094645,0.0027548850215949653,9304
full,R,42_2026,all,0.002581338145988315,0.00014742013742927835,0.010867738013595423,0.0011523955519988373,22500
full,R,42_2026,D0,0.0015790769416073713,6.782565459454031e-05,0.009426552972273424,0.00031859166684749504,13196
full,R,42_2026,D1,0.0040028599487624906,0.0005110562693981444,0.012496340861333922,0.002670234863594633,9304
full,R,123_2026,all,0.0026252312122605924,0.0001828141397033675,0.011583418453815475,0.001019742837163655,22500
full,R,123_2026,D0,0.0016897756114057525,0.00016542152887512253,0.009487263967831946,0.0003272190513742932,13196
full,R,123_2026,D1,0.0039520016452872985,0.0004772350552683792,0.013922409822772803,0.0025145090548734095,9304
full,V,42_123,all,0.00415405037654645,0.000188278412598241,0.014138868782044726,0.0020511963119853828,22500
full,V,42_123,D0,0.0030118016236318473,6.774319776605266e-05,0.012094906492919165,0.0009311739964465704,13196
full,V,42_123,D1,0.0057741185776923115,0.000692237411482113,0.016477473209150006,0.00400990201448732,9304
full,V,42_2026,all,0.004519305436136606,0.00020128189800906296,0.015639076230056226,0.002168040390924483,22500
full,V,42_2026,D0,0.003163093477231079,7.438527150362132e-05,0.013831499526506362,0.0009664820387492457,13196
full,V,42_2026,D1,0.006442840798316029,0.0006508036159394072,0.017715927578367496,0.004498026471362546,9304
full,V,123_2026,all,0.004330906136801896,0.00021836627174153455,0.015655173408192877,0.0020144526617705792,22500
full,V,123_2026,D0,0.00317328431554734,9.554528097233835e-05,0.0142788419314452,0.0010116077761935349,13196
full,V,123_2026,D1,0.00597277818680997,0.0006168126195082457,0.01729014387399992,0.0040094726327277634,9304
polarity_only,R,42_123,all,0.0020039743106405735,0.0001272801943239383,0.009859187735464433,0.0006278554217082838,15385
polarity_only,R,42_123,D0,0.0014888050227826175,9.26644237983617e-05,0.008660454480920208,0.00034327004027273676,12747
polarity_only,R,42_123,D1,0.004493308242530401,0.0007339244277177524,0.014037918006102722,0.00307679716984978,2638
polarity_only,R,42_2026,all,0.0019907491854403553,8.574821590378071e-05,0.010182806542976493,0.0005790402818971734,15385
polarity_only,R,42_2026,D0,0.0014633739915025114,6.179295095318736e-05,0.009373275900677573,0.000255477678133549,12747
