scope,group,n,within_R_mean,within_V_mean,combined_within_mean,cross_source_mean,cross_over_combined_within
full,D0,13196,0.0016409676666154628,0.0031160598054700886,0.002378513736042776,0.051900226898533124,21.820444470033422
full,D1,9304,0.0039695111532777275,0.00606324585427277,0.005016378503775249,0.4064689070050506,81.0283567516184
polarity_only,D0,12747,0.0015072410696307936,0.003052392630536865,0.0022798168500838293,0.040691648249244795,17.848647906847674
polarity_only,D1,2638,0.004412821763091767,0.008436928866218949,0.006424875314655357,0.31949377621677305,49.727622805067824
singleton,D0,7558,0.002652148807665386,0.004858910983900806,0.0037555298957830958,0.07218723495009834,19.22158442438547
singleton,D1,6993,0.004863846428468855,0.007574595295502439,0.006219220861985647,0.37065725182717485,59.59866357099158
