run,probability_array_sha256,probability_array_sha256_prefix12,parquet_file_sha256,finite,nan_count,inf_count,row_sum_min,row_sum_max,max_abs_row_sum_deviation
R42,7c16acbf2547f09ec2c1d58406b541254e94375e63269126f75edb0fab7f7a05,7c16acbf2547,be5a19ff0690a7f81c6daeadca7a9db91b44405d18ba46dae457ca33e3c02b7b,True,0,0,0.9999998642597347,1.0000001438893378,1.4388933777809143e-07
R123,95853e41f906e1e2de17e308b59ebf4957f59b4a1eced265356f378a0614075f,95853e41f906,ad0bcd54ae98b9d0e1e6c7c87920c0be972e5a5233b7403df2bf415bd023e516,True,0,0,0.9999998619314283,1.0000001383014023,1.3830140233039856e-07
R2026,7b5d0ddbc75c08301d4eb4f0a7eae6e4c27190d11515ebcc18676a41f8e22278,7b5d0ddbc75c,99038f6aa783ba8296a5dbaa6d04b697494ef0de83198d61d55c8831bbacdf13,True,0,0,0.99999985890463,1.0000001401640475,1.41095370054245e-07
V42,537ee8517e58f9e07891440c7545fc7c983c87354311c9457855b922d53237a5,537ee8517e58,c2dee6e2e7922245050f29e21b73b1e117aeabaf4486582e4bf59c988348de30,True,0,0,0.9999998630373739,1.00000014109537,1.41095370054245e-07
V123,6646d4f9c0fa1022b7f5fe7eef483a79a3e92bdb3e8018d51cdda83c05c40226,6646d4f9c0fa,9531e182acee1e0751066c9ea33747f2d4203c03d11935f4a5ba87047141f604,True,0,0,0.9999998643179424,1.0000001428998075,1.4289980754256248e-07
V2026,4b550ae12fbddf380a41ac38a5b6e5e918c3ebc19c75e87e1a5dcd94ee38f7c3,4b550ae12fbd,b5fd8eafe3933155f5661df24724c5887652da75127067ddd39333070825e64d,True,0,0,0.9999998604180291,1.0000001386506483,1.3958197087049484e-07
