scope,source,n,entropy_mean,max_confidence_mean,seed42_entropy,seed123_entropy,seed2026_entropy,seed42_max_confidence,seed123_max_confidence,seed2026_max_confidence
full,R,22500,0.3147156994528579,0.8978147693828301,0.31900146642987276,0.315496076149171,0.30964955577952985,0.8955481003509628,0.8981271950059467,0.8997690127915806
full,V,22500,0.2091725049347307,0.9246295466012424,0.207731908976126,0.21224092785261783,0.20754467797544812,0.925022285343541,0.9237817447900772,0.9250846096701092
agreement,R,13196,0.24082143600638772,0.9303684551274461,0.24244609444680845,0.24370371843726266,0.23631449513509203,0.9293864792374886,0.9299271532864273,0.9317917328584226
agreement,V,13196,0.15607956476289786,0.9451654956529173,0.15288585810314342,0.1590918709614279,0.15626096522412225,0.9462785253396682,0.9443199618065419,0.944897999812542
disagreement,R,9304,0.419521019792456,0.8516433982428949,0.4275810761341416,0.41732023268037743,0.413661750562849,0.8475546300385599,0.8530248466107164,0.8543507180794087
disagreement,V,9304,0.2844750026247033,0.8955031081139357,0.28552086935014553,0.2876230167107586,0.2802811218132057,0.8948742476190253,0.8946520896149625,0.8969829871078195
polarity_all,R,15385,0.25947851011959017,0.9226062224366117,0.2620416566163983,0.26188019873471924,0.2545136750076528,0.9211316709031058,0.9222622720827947,0.9244247243239347
polarity_all,V,15385,0.2004810445701051,0.9275010444834875,0.1975023358702308,0.2041660597809516,0.19977473805913293,0.9286254974708644,0.9262626525504968,0.9276149834291013
polarity_agreement,R,12747,0.2258843042228864,0.9374892103871847,0.22718988887941355,0.22905772534671953,0.22140529844252615,0.9366994936101304,0.9368983671680529,0.9388697703833709
polarity_agreement,V,12747,0.1534639629374336,0.9461199534654474,0.14998493680125838,0.15664870159223712,0.15375825041880536,0.9474036776337744,0.9451408743217729,0.9458153084407949
